Class; Value; Class start; Class end;
1;2;-0.821405351162;-0.771585821144;
2;0;-0.771585821144;-0.721766291126;
3;4;-0.721766291126;-0.671946761108;
4;1;-0.671946761108;-0.622127231090;
5;1;-0.622127231090;-0.572307701072;
6;5;-0.572307701072;-0.522488171054;
7;2;-0.522488171054;-0.472668641037;
8;5;-0.472668641037;-0.422849111019;
9;23;-0.422849111019;-0.373029581001;
10;43;-0.373029581001;-0.323210050983;
11;78;-0.323210050983;-0.273390520965;
12;105;-0.273390520965;-0.223570990947;
13;136;-0.223570990947;-0.173751460929;
14;182;-0.173751460929;-0.123931930911;
15;231;-0.123931930911;-0.074112400893;
16;311;-0.074112400893;-0.024292870875;
17;353;-0.024292870875;0.025526659143;
18;381;0.025526659143;0.075346189161;
19;312;0.075346189161;0.125165719178;
20;254;0.125165719178;0.174985249196;
21;202;0.174985249196;0.224804779214;
22;170;0.224804779214;0.274624309232;
23;133;0.274624309232;0.324443839250;
24;152;0.324443839250;0.374263369268;
25;132;0.374263369268;0.424082899286;
26;95;0.424082899286;0.473902429304;
27;70;0.473902429304;0.523721959322;
28;57;0.523721959322;0.573541489340;
29;46;0.573541489340;0.623361019358;
30;42;0.623361019358;0.673180549375;
31;39;0.673180549375;0.723000079393;
32;30;0.723000079393;0.772819609411;
33;14;0.772819609411;0.822639139429;
34;15;0.822639139429;0.872458669447;
35;16;0.872458669447;0.922278199465;
36;14;0.922278199465;0.972097729483;
37;16;0.972097729483;1.021917259501;
38;20;1.021917259501;1.071736789519;
39;12;1.071736789519;1.121556319537;
40;13;1.121556319537;1.171375849555;
41;5;1.171375849555;1.221195379573;
42;10;1.221195379573;1.271014909590;
43;5;1.271014909590;1.320834439608;
44;5;1.320834439608;1.370653969626;
45;3;1.370653969626;1.420473499644;
46;3;1.420473499644;1.470293029662;
47;1;1.470293029662;1.520112559680;
48;4;1.520112559680;1.569932089698;
49;6;1.569932089698;1.619751619716;
50;2;1.619751619716;1.669571149734;
51;1;1.669571149734;1.719390679752;
52;3;1.719390679752;1.769210209770;
53;3;1.769210209770;1.819029739788;
54;3;1.819029739788;1.868849269805;
55;1;1.868849269805;1.918668799823;
56;2;1.918668799823;1.968488329841;
57;1;1.968488329841;2.018307859859;
58;0;2.018307859859;2.068127389877;
59;1;2.068127389877;2.117946919895;
60;0;2.117946919895;2.167766449913;
61;0;2.167766449913;2.217585979931;
62;1;2.217585979931;2.267405509949;
